id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
205637,"Arkham Horror: The Card Game",2016,28,7.89949,8.12927,45169,0,,2,,,,,13,
312484,"Lost Ruins of Arnak",2020,29,7.896,8.06859,49135,0,,,,1,,28,,
237182,Root,2018,30,7.88549,8.072,56558,0,,,,,,34,,13
120677,"Terra Mystica",2012,31,7.87768,8.04649,49273,0,,,,,,29,,
266192,Wingspan,2019,32,7.87497,8.02562,101543,0,,,,4,,44,,
192135,"Too Many Bones",2017,33,7.87399,8.32781,15003,0,,,,,,24,11,
164928,Orléans,2014,34,7.86377,8.05178,33185,0,,,,,,27,,
96848,"Mage Knight Board Game",2011,35,7.84719,8.08184,34078,0,,,,,,36,17,
251247,Barrage,2019,36,7.84573,8.15532,19331,0,,,,,,26,,
199792,Everdell,2018,37,7.83125,8.00745,60529,0,,,,6,,46,,
324856,"The Crew: Mission Deep Sea",2021,38,7.83099,8.10699,20875,0,,,,2,,32,,
373106,"Sky Team",2023,39,7.83055,8.17644,18097,0,,,,3,,,16,
183394,"Viticulture Essential Edition",2015,40,7.82515,7.97655,51443,0,,,,,,42,,
366013,"Heat: Pedal to the Metal",2022,41,7.79849,8.03005,30639,0,,,,7,,,,
285774,"Marvel Champions: The Card Game",2019,42,7.79337,8.11626,25410,0,,3,,,,,,
175914,"Food Chain Magnate",2015,43,7.7879,8.05027,21424,0,,,,,,38,,
521,Crokinole,1876,44,7.78392,8.05129,19310,0,,,,5,,,,
256960,"Pax Pamir: Second Edition",2019,45,7.78051,8.15742,15562,0,,,,,,37,,4
284378,"Kanban EV",2020,46,7.77784,8.40162,8659,0,,,,,,25,,
247763,"Underwater Cities",2018,47,7.77693,8.04847,20999,0,,,,,,39,,
3076,"Puerto Rico",2002,48,7.76533,7.90683,72389,0,,,,,,51,,
321608,"Hegemony: Lead Your Class to Victory",2023,49,7.76329,8.43009,8907,0,,,,,,30,,
295947,Cascadia,2021,50,7.75436,7.92176,45867,0,1,,,9,,,,
314040,"Pandemic Legacy: Season 0",2020,51,7.7492,8.37455,8475,0,,,,,,33,10,
421006,"The Lord of the Rings: Duel for Middle-earth",2024,52,7.74886,8.42356,8536,0,,,,,,35,,
102794,"Caverna: The Cave Farmers",2013,53,7.74854,7.93491,35838,0,,,,,,48,,
253344,"Cthulhu: Death May Die",2019,54,7.74692,8.18983,14461,0,,,,,,,15,
185343,Anachrony,2017,55,7.74626,8.06096,19866,0,,,,,,45,,
184267,"On Mars",2020,56,7.74245,8.17262,13582,0,,,,,,40,,
170216,"Blood Rage",2015,57,7.74146,7.91573,49102,0,,,,,,56,,
31260,Agricola,2007,58,7.73854,7.86752,74390,0,,,,,,57,,
251661,"Oathsworn: Into the Deepwood",2022,59,7.72855,8.8851,5723,0,,,,,,,9,
255984,"Sleeping Gods",2021,60,7.72253,8.1573,13739,0,,,,,,,19,
161533,Lisboa,2017,61,7.71186,8.17727,11820,0,,,,,,43,,
221107,"Pandemic Legacy: Season 2",2017,62,7.71119,8.02559,17495,0,,,,,,50,20,
231733,Obsession,2018,63,7.71066,8.11149,14861,0,,,,,,47,21,
182874,"Grand Austria Hotel",2015,64,7.70072,7.95335,22521,0,,,,,,53,,
205059,"Mansions of Madness: Second Edition",2016,65,7.69722,7.93155,38076,0,,,,,,,25,
383179,"Age of Innovation",2023,66,7.69239,8.56419,6067,0,,,,,,31,,
126163,"Tzolk'in: The Mayan Calendar",2012,67,7.6908,7.85138,40621,0,,,,,,61,,
2651,"Power Grid",2004,68,7.69003,7.80388,67146,0,,,,,,67,,
338960,"Slay the Spire: The Board Game",2024,69,7.67686,8.73775,5674,0,,,,,,41,,
244521,"The Quacks of Quedlinburg",2018,70,7.67424,7.81168,54077,0,,,,12,,,,
216132,"Clans of Caledonia",2017,71,7.67235,7.93745,21231,0,,,,,,59,,
